created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-07-13 18:23:16 UTC,338,20,52,38,45,34,35
2023-07-13 18:24:02 UTC,339,68,79,44,55,65,47
2023-07-13 18:24:29 UTC,340,288,290,274,429,434,445
2023-07-13 18:24:56 UTC,341,63,69,65,72,65,49
2023-07-13 18:26:07 UTC,342,66,27,49,46,64,64
2023-07-13 18:26:23 UTC,343,306,165,101,242,438,414
2023-07-13 18:26:44 UTC,344,5,3,9,7,6,1
2023-07-13 18:27:11 UTC,345,56,56,22,35,32,24
2023-07-13 18:27:53 UTC,346,32,20,42,27,79,43
2023-07-13 18:28:20 UTC,347,63,30,64,35,69,75
2023-07-13 18:28:36 UTC,348,35,29,22,67,46,76
2023-07-13 18:28:52 UTC,349,37,76,29,47,66,77
2023-07-13 18:29:09 UTC,350,210,486,335,385,135,427
2023-07-13 18:29:30 UTC,351,79,79,32,70,22,28
2023-07-13 18:29:58 UTC,352,50,62,55,35,39,67
2023-07-13 18:30:26 UTC,353,5,6,9,2,8,7
2023-07-13 18:31:09 UTC,354,77,25,35,24,76,40
2023-07-13 18:32:10 UTC,355,61,39,68,67,37,74
2023-07-13 18:32:42 UTC,356,69,56,62,76,55,65
2023-07-13 18:32:57 UTC,357,42,70,59,39,72,75
2023-07-13 18:33:14 UTC,358,2,2,3,4,1,2
2023-07-13 18:33:30 UTC,359,41,68,43,47,42,66
2023-07-13 18:34:38 UTC,360,21,34,30,72,76,60
2023-07-13 18:35:18 UTC,361,68,78,46,73,30,23
2023-07-13 18:35:58 UTC,362,21,57,51,49,50,39
2023-07-13 18:36:18 UTC,363,77,71,67,51,56,27
2023-07-13 18:36:53 UTC,364,37,41,35,42,39,26
2023-07-13 18:37:24 UTC,365,24,42,38,50,22,32
2023-07-13 18:37:45 UTC,366,64,42,23,33,21,36
2023-07-13 18:38:50 UTC,367,294,261,84,107,232,479
2023-07-13 18:39:15 UTC,368,64,32,43,68,59,49
2023-07-13 18:39:43 UTC,369,23,77,69,56,22,36
2023-07-13 18:41:19 UTC,370,65,48,38,31,57,59
2023-07-13 18:41:46 UTC,371,56,57,67,43,76,58
2023-07-13 18:43:31 UTC,372,68,44,72,34,22,53
2023-07-13 18:43:48 UTC,373,36,41,46,21,68,31
2023-07-13 18:44:04 UTC,374,72,58,42,67,47,69
2023-07-13 18:44:56 UTC,375,5,1,9,8,2,5
2023-07-13 18:45:24 UTC,376,64,46,43,41,37,37
2023-07-13 18:45:51 UTC,377,27,31,52,61,32,66
2023-07-13 18:46:10 UTC,378,65,39,71,32,25,77
2023-07-13 18:46:25 UTC,379,43,22,26,47,68,39
